park_name,category,subcategory,civic_no,street,address,city,province,country,latitude,longitude,name,desc,color,source,precision
SCHNEIDER CREEK - NYBERG GREENWAY 3,GREENWAY,OPEN SPACE,,NYBERG ST,NYBERG ST,KITCHENER,ONTARIO,CANADA,43.4392919,-80.4758149,"NYBERG ST, KITCHENER, ONTARIO, CANADA","Nyberg St, Kitchener, ON N2G, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,THOMAS SLEE DR,THOMAS SLEE DR,KITCHENER,ONTARIO,CANADA,43.374953,-80.4362168,"THOMAS SLEE DR, KITCHENER, ONTARIO, CANADA","Thomas Slee Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
GRAND RIVER NATURAL AREA - SIMS ESTATE,NATURAL AREA,OPEN SPACE/FLOODPLAIN,,EDGEWATER CRES,EDGEWATER CRES,KITCHENER,ONTARIO,CANADA,43.4427071,-80.406561,"EDGEWATER CRES, KITCHENER, ONTARIO, CANADA","Edgewater Crescent, Kitchener, ON N2A, Canada",,Bing Maps,street
VERONICA DRIVE - SWP,OPEN SPACE,OPEN SPACE/SWM,246,VERONICA DR,246 VERONICA DR,KITCHENER,ONTARIO,CANADA,43.4389012,-80.4292848,"VERONICA DR, KITCHENER, ONTARIO, CANADA","Veronica Dr, Kitchener, ON N2A, Canada",,Bing Maps,street
YELLOW BIRCH PARK,NEIGHBOURHOOD PARK,PLAY AREA,135,YELLOW BIRCH DR,135 YELLOW BIRCH DR,KITCHENER,ONTARIO,CANADA,43.4119856,-80.5502401,"YELLOW BIRCH DR, KITCHENER, ONTARIO, CANADA","Yellow Birch Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
KESTREL STREET - SWP,OPEN SPACE,OPEN SPACE/SWM,56,EAGLECREST ST,56 EAGLECREST ST,KITCHENER,ONTARIO,CANADA,43.498088,-80.475628,"EAGLECREST ST, KITCHENER, ONTARIO, CANADA","Eaglecrest St, Kitchener, ON N2K, Canada",,Bing Maps,street
GROVE DRIVE - SWP,OPEN SPACE,OPEN SPACE/SWM,1445,GROVE DR,1445 GROVE DR,KITCHENER,ONTARIO,CANADA,43.4151146,-80.5103653,"GROVE DR, KITCHENER, ONTARIO, CANADA","Grove Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
KNOLLWOOD PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,175,STIRLING AVE N,175 STIRLING AVE N,KITCHENER,ONTARIO,CANADA,43.4468168,-80.4748266,"STIRLING AVE N, KITCHENER, ONTARIO, CANADA","Stirling Ave N, Kitchener, ON N2H, Canada",,Bing Maps,street
IDLE CREEK DR - SWP#A,OPEN SPACE,OPEN SPACE/SWM,98,IDLE CREEK DR,98 IDLE CREEK DR,KITCHENER,ONTARIO,CANADA,43.4420226,-80.4196592,"IDLE CREEK DR, KITCHENER, ONTARIO, CANADA","Idle Creek Dr, Kitchener, ON N2A, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,THOMAS SLEE DR,THOMAS SLEE DR,KITCHENER,ONTARIO,CANADA,43.374953,-80.4362168,"THOMAS SLEE DR, KITCHENER, ONTARIO, CANADA","Thomas Slee Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
DOON CREEK NATURAL AREA 1,NATURAL AREA,OPEN SPACE/TRAIL,1317,DOON SOUTH DR,1317 DOON SOUTH DR,KITCHENER,ONTARIO,CANADA,43.3762162,-80.4338862,"DOON SOUTH DR, KITCHENER, ONTARIO, CANADA","Doon South Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
SCHNEIDER CREEK NATURAL AREA,NATURAL AREA,OPEN SPACE/WETLAND,1366,DOON VILLAGE RD,1366 DOON VILLAGE RD,KITCHENER,ONTARIO,CANADA,43.388634,-80.425772,"DOON VILLAGE RD, KITCHENER, ONTARIO, CANADA","Doon Village Rd, Kitchener, ON N2P, Canada",,Bing Maps,street
EBY PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,137,HOLBORN DR,137 HOLBORN DR,KITCHENER,ONTARIO,CANADA,43.4524243,-80.4349269,"HOLBORN DR, KITCHENER, ONTARIO, CANADA","Holborn Dr, Kitchener, ON N2A, Canada",,Bing Maps,street
FAIRWAY CRES - SWP,OPEN SPACE,OPEN SPACE/SWM,775,FAIRWAY RD N,775 FAIRWAY RD N,KITCHENER,ONTARIO,CANADA,43.4287407,-80.4319771,"FAIRWAY RD N, KITCHENER, ONTARIO, CANADA","Fairway Rd N, Kitchener, ON N2A, Canada",,Bing Maps,street
BEECHCROFT PLACE - SWP,OPEN SPACE,OPEN SPACE/SWM,17,BEECHCROFT PL,17 BEECHCROFT PL,KITCHENER,ONTARIO,CANADA,43.4316634,-80.547046,"BEECHCROFT PL, KITCHENER, ONTARIO, CANADA","Beechcroft Pl, Kitchener, ON N2N, Canada",,Bing Maps,street
COUNTRY CLAIR PARK,NEIGHBOURHOOD PARK,PLAY AREA,34,COUNTRY CLAIR ST,34 COUNTRY CLAIR ST,KITCHENER,ONTARIO,CANADA,43.4478461,-80.4123536,"COUNTRY CLAIR ST, KITCHENER, ONTARIO, CANADA","Country Clair St, Kitchener, ON N2A, Canada",,Bing Maps,street
TILT'S BUSH,OPEN SPACE,OPEN SPACE/TRAIL,,PONDCLIFFE CRT,PONDCLIFFE CRT,KITCHENER,ONTARIO,CANADA,43.3825686,-80.4469326,"PONDCLIFFE CRT, KITCHENER, ONTARIO, CANADA","Pondcliffe Crt, Kitchener, ON N2R, Canada",,Bing Maps,street
TIMBERLANE PARK,NEIGHBOURHOOD PARK,OPEN SPACE/TRAIL,38,TIMBERLANE CRES,38 TIMBERLANE CRES,KITCHENER,ONTARIO,CANADA,43.4188435,-80.546068,"TIMBERLANE CRES, KITCHENER, ONTARIO, CANADA","Timberlane Crescent, Kitchener, ON N2N, Canada",,Bing Maps,street
GUELPH STREET PARK,NEIGHBOURHOOD PARK,PLAY AREA,800,GUELPH ST,800 GUELPH ST,KITCHENER,ONTARIO,CANADA,43.4609797,-80.5005017,"GUELPH ST, KITCHENER, ONTARIO, CANADA","Guelph St, Kitchener, ON N2H, Canada",,Bing Maps,street
COUNTRY HILLS PARK,DISTRICT PARK,MINOR SPORTSFIELD,365,COUNTRY HILL DR,365 COUNTRY HILL DR,KITCHENER,ONTARIO,CANADA,43.4146201,-80.4736797,"COUNTRY HILL DR, KITCHENER, ONTARIO, CANADA","Country Hill Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
GRAND RIVER NATURAL AREA - PIONEER TOWER,NATURAL AREA,OPEN SPACE/FLOODPLAIN,310,LOOKOUT LANE,310 LOOKOUT LANE,KITCHENER,ONTARIO,CANADA,43.4046538,-80.4172672,"LOOKOUT LANE, KITCHENER, ONTARIO, CANADA","Lookout Lane, Kitchener, ON N2P, Canada",,Bing Maps,street
FAIRWAY RD N - SWP,OPEN SPACE,OPEN SPACE/SWM,,FAIRWAY RD N,FAIRWAY RD N,KITCHENER,ONTARIO,CANADA,43.4287407,-80.4319771,"FAIRWAY RD N, KITCHENER, ONTARIO, CANADA","Fairway Rd N, Kitchener, ON N2A, Canada",,Bing Maps,street
WEST OAK TRAIL PARK,GREEN,PARK,80,WEST OAK TRAIL,80 WEST OAK TRAIL,KITCHENER,ONTARIO,CANADA,43.3830017,-80.4957477,"WEST OAK TRAIL, KITCHENER, ONTARIO, CANADA","West Oak Trail, Kitchener, ON N2R, Canada",,Bing Maps,street
TEMPLEWOOD PARK,NEIGHBOURHOOD PARK,PLAY AREA,145,TEMPLEWOOD DR,145 TEMPLEWOOD DR,KITCHENER,ONTARIO,CANADA,43.3917231,-80.4623921,"TEMPLEWOOD DR, KITCHENER, ONTARIO, CANADA","Templewood Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
LACKNER WOODS - SWP,OPEN SPACE,OPEN SPACE/SWM,621,LACKNER BLVD,621 LACKNER BLVD,KITCHENER,ONTARIO,CANADA,43.4550184,-80.4269797,"LACKNER BLVD, KITCHENER, ONTARIO, CANADA","Lackner Blvd, Kitchener, ON N2A, Canada",,Bing Maps,street
GEORGIAN PARK NATURAL AREA,NATURAL AREA,OPEN SPACE/TRAIL,,GEORGIAN CRES,GEORGIAN CRES,KITCHENER,ONTARIO,CANADA,43.4662338,-80.4413001,"GEORGIAN CRES, KITCHENER, ONTARIO, CANADA","Georgian Crescent, Kitchener, ON N2B, Canada",,Bing Maps,street
EDEN OAK PARK,NEIGHBOURHOOD PARK,PLAY AREA,125,EDEN OAK TRAIL,125 EDEN OAK TRAIL,KITCHENER,ONTARIO,CANADA,43.4516919,-80.4038187,"EDEN OAK TRAIL, KITCHENER, ONTARIO, CANADA","Eden Oak Trail, Kitchener, ON N2A, Canada",,Bing Maps,street
FISCHER PARK,DISTRICT PARK,MAJOR SPORTSFIELD,247,FISCHER HALLMAN RD,247 FISCHER HALLMAN RD,KITCHENER,ONTARIO,CANADA,43.4213466,-80.5164913,"FISCHER HALLMAN RD, KITCHENER, ONTARIO, CANADA","Fischer Hallman Rd, Kitchener, ON N2M, Canada",,Bing Maps,street
FALLOWFIELD DR - SWP,OPEN SPACE,OPEN SPACE/SWM,,FALLOWFIELD DR,FALLOWFIELD DR,KITCHENER,ONTARIO,CANADA,43.4168086,-80.4620654,"FALLOWFIELD DR, KITCHENER, ONTARIO, CANADA","Fallowfield Dr, Kitchener, ON N2C, Canada",,Bing Maps,street
HUCK PARK GREENWAY,NEIGHBOURHOOD PARK,PLAY AREA,225,HUCK CRES,225 HUCK CRES,KITCHENER,ONTARIO,CANADA,43.4328807,-80.5525274,"HUCK CRES, KITCHENER, ONTARIO, CANADA","Huck Crescent, Kitchener, ON N2N, Canada",,Bing Maps,street
SHOEMAKER CREEK GREENWAY,GREENWAY,OPEN SPACE/FLOODPLAIN,,KENT AVE,KENT AVE,KITCHENER,ONTARIO,CANADA,43.4410215,-80.479079,"KENT AVE, KITCHENER, ONTARIO, CANADA","Kent Ave, Kitchener, ON N2G, Canada",,Bing Maps,street
HYDRO CORRIDOR TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,1824,BLEAMS RD,1824 BLEAMS RD,KITCHENER,ONTARIO,CANADA,43.4098971,-80.4619459,"BLEAMS RD, KITCHENER, ONTARIO, CANADA","Bleams Rd, Kitchener, ON N2E, Canada",,Bing Maps,street
RIVERS EDGE WALK,GREENWAY,OPEN SPACE/TRAIL,,EDGEHILL DR,EDGEHILL DR,KITCHENER,ONTARIO,CANADA,43.4049093,-80.3933662,"EDGEHILL DR, KITCHENER, ONTARIO, CANADA","Edgehill Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
MIDLAND PARK (WCDSB),NEIGHBOURHOOD PARK,PARK,39,MIDLAND DR,39 MIDLAND DR,KITCHENER,ONTARIO,CANADA,43.4487649,-80.4476079,"MIDLAND DR, KITCHENER, ONTARIO, CANADA","Midland Dr, Kitchener, ON N2A, Canada",,Bing Maps,street
ROCHEFORT PARK,NEIGHBOURHOOD PARK,PASSIVE AREA,136,ROCHEFORT ST,136 ROCHEFORT ST,KITCHENER,ONTARIO,CANADA,43.3852825,-80.477642,"ROCHEFORT ST, KITCHENER, ONTARIO, CANADA","Rochefort St, Kitchener, ON N2R, Canada",,Bing Maps,street
MIDLAND PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,505,FRANKLIN ST N,505 FRANKLIN ST N,KITCHENER,ONTARIO,CANADA,43.4383965,-80.4457932,"FRANKLIN ST N, KITCHENER, ONTARIO, CANADA","Franklin St N, Kitchener, ON N2A, Canada",,Bing Maps,street
HIBNER PARK,GREEN (PARKETTE),PLAY AREA,70,AHRENS ST W,70 AHRENS ST W,KITCHENER,ONTARIO,CANADA,43.4633369,-80.4981796,"AHRENS ST W, KITCHENER, ONTARIO, CANADA","Ahrens St W, Kitchener, ON N2H, Canada",,Bing Maps,street
SILVER GREEN,GREEN (PARKETTE),OPEN SPACE/TRAIL,,SILVER ASPEN CRES,SILVER ASPEN CRES,KITCHENER,ONTARIO,CANADA,43.4240444,-80.5254214,"SILVER ASPEN CRES, KITCHENER, ONTARIO, CANADA","Silver Aspen Crescent, Kitchener, ON N2N, Canada",,Bing Maps,street
WEST OAK TRAIL -  SWP,OPEN SPACE,OPEN SPACE/SWM,,WEST OAK TRAIL,WEST OAK TRAIL,KITCHENER,ONTARIO,CANADA,43.3830017,-80.4957477,"WEST OAK TRAIL, KITCHENER, ONTARIO, CANADA","West Oak Trail, Kitchener, ON N2R, Canada",,Bing Maps,street
MILL ST PARKETTE,GREEN (PARKETTE),OPEN SPACE/TRAIL,346,MILL ST,346 MILL ST,KITCHENER,ONTARIO,CANADA,43.4357643,-80.4856305,"MILL ST, KITCHENER, ONTARIO, CANADA","Mill St, Kitchener, ON N2M, Canada",,Bing Maps,street
EASTFOREST PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,140,EASTFOREST TRAIL,140 EASTFOREST TRAIL,KITCHENER,ONTARIO,CANADA,43.4328474,-80.538877,"EASTFOREST TRAIL, KITCHENER, ONTARIO, CANADA","Eastforest Trail, Kitchener, ON N2N, Canada",,Bing Maps,street
TILT TRAIL PARK AND GREENWAY,GREENWAY,OPEN SPACE/TRAIL,,ELMBANK TRAIL,ELMBANK TRAIL,KITCHENER,ONTARIO,CANADA,43.3759558,-80.4462141,"ELMBANK TRAIL, KITCHENER, ONTARIO, CANADA","Elmbank Trail, Kitchener, ON N2R, Canada",,Bing Maps,street
LAURENTIAN WETLAND,NATURAL AREA,OPEN SPACE/WETLAND,,DAVID BERGEY DR,DAVID BERGEY DR,KITCHENER,ONTARIO,CANADA,43.4067923,-80.5188309,"DAVID BERGEY DR, KITCHENER, ONTARIO, CANADA","David Bergey Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
CHAPEL HILL CRT - SWP,OPEN SPACE,OPEN SPACE/SWM,,CHAPEL HILL DRT,CHAPEL HILL DRT,KITCHENER,ONTARIO,CANADA,43.3816211,-80.4515385,"CHAPEL HILL DRT, KITCHENER, ONTARIO, CANADA","Chapel Hill Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
FOX GLOVE PARK,NEIGHBOURHOOD PARK,PLAY AREA,20,FOXGLOVE CRES,20 FOXGLOVE CRES,KITCHENER,ONTARIO,CANADA,43.4122022,-80.5240021,"FOXGLOVE CRES, KITCHENER, ONTARIO, CANADA","Foxglove Crescent, Kitchener, ON N2E, Canada",,Bing Maps,street
RIVER RIDGE PARK,NEIGHBOURHOOD PARK,PLAY AREA,144,HAWKSWOOD DR,144 HAWKSWOOD DR,KITCHENER,ONTARIO,CANADA,43.495481,-80.477612,"HAWKSWOOD DR, KITCHENER, ONTARIO, CANADA","Hawkswood Dr, Kitchener, ON N2K, Canada",,Bing Maps,street
HILLSIDE PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,15,HILL ST,15 HILL ST,KITCHENER,ONTARIO,CANADA,43.4639702,-80.4850293,"HILL ST, KITCHENER, ONTARIO, CANADA","Hill St, Kitchener, ON N2H, Canada",,Bing Maps,street
FERGUSON HERITAGE GREEN,GREEN (PARKETTE),HISTORIC SITE,,ORR CRT,ORR CRT,KITCHENER,ONTARIO,CANADA,43.3825022,-80.4937276,"ORR CRT, KITCHENER, ONTARIO, CANADA","Orr Crt, Kitchener, ON N2R, Canada",,Bing Maps,street
HEWITT PARK,NEIGHBOURHOOD PARK,PLAY AREA,269,SEABROOK DR,269 SEABROOK DR,KITCHENER,ONTARIO,CANADA,43.3859006,-80.4969817,"SEABROOK DR, KITCHENER, ONTARIO, CANADA","Seabrook Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
IDLEWOOD GREENWAY,GREENWAY,OPEN SPACE/TRAIL,,OLDFIELD DR TO BRIERDALE DR,OLDFIELD DR TO BRIERDALE DR,KITCHENER,ONTARIO,CANADA,43.4491999,-80.4262333,"OLDFIELD DR TO BRIERDALE DR, KITCHENER, ONTARIO, CANADA","Oldfield Dr & Brierdale Dr, Kitchener, ON N2A, Canada",,Bing Maps,intersection
DOON SOUTH CREEK NATURAL AREA 2,NATURAL AREA,OPEN SPACE/WETLAND,,GROH DR,GROH DR,KITCHENER,ONTARIO,CANADA,43.376492,-80.4397436,"GROH DR, KITCHENER, ONTARIO, CANADA","Groh Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
BALZER RD - SWP,OPEN SPACE,OPEN SPACE/SWM,151,BALZER RD,151 BALZER RD,KITCHENER,ONTARIO,CANADA,43.4187905,-80.4565733,"BALZER RD, KITCHENER, ONTARIO, CANADA","Balzer Rd, Kitchener, ON N2C, Canada",,Bing Maps,street
OTTERBEIN RD - SWP,OPEN SPACE,OPEN SPACE/SWM,,OTTERBEIN RD,OTTERBEIN RD,KITCHENER,ONTARIO,CANADA,43.4661391,-80.4304205,"OTTERBEIN RD, KITCHENER, ONTARIO, CANADA","Otterbein Rd, Kitchener, ON N2B, Canada",,Bing Maps,street
RIDGEMOUNT ST - SWP,OPEN SPACE,OPEN SPACE/SWM,,RIDGEMOUNT ST,RIDGEMOUNT ST,KITCHENER,ONTARIO,CANADA,43.3787776,-80.4178764,"RIDGEMOUNT ST, KITCHENER, ONTARIO, CANADA","Ridgemount St, Kitchener, ON N2P, Canada",,Bing Maps,street
KINZIE PARK,NEIGHBOURHOOD PARK,PLAY AREA,300,KINZIE AVE,300 KINZIE AVE,KITCHENER,ONTARIO,CANADA,43.4336732,-80.4353971,"KINZIE AVE, KITCHENER, ONTARIO, CANADA","Kinzie Ave, Kitchener, ON N2A, Canada",,Bing Maps,street
NORTH TRAIL,GREENWAY,OPEN SPACE/TRAIL,,GLASGOW ST TO NORTHFOREST TRAIL,GLASGOW ST TO NORTHFOREST TRAIL,KITCHENER,ONTARIO,CANADA,43.4304518,-80.5614296,"GLASGOW ST TO NORTHFOREST TRAIL, KITCHENER, ONTARIO, CANADA","Glasgow St, Kitchener, ON N2N, Canada",,Bing Maps,street
VOGELSANG GREEN,GREEN (PARKETTE),PASSIVE AREA,15,DUKE ST E,15 DUKE ST E,KITCHENER,ONTARIO,CANADA,43.4495412,-80.4848614,"DUKE ST E, KITCHENER, ONTARIO, CANADA","Duke St E, Kitchener, ON N2H, Canada",,Bing Maps,street
KNITTING MILL GREEN,GREEN (PARKETTE),PASSIVE AREA,71,MILL ST,71 MILL ST,KITCHENER,ONTARIO,CANADA,43.4357643,-80.4856305,"MILL ST, KITCHENER, ONTARIO, CANADA","Mill St, Kitchener, ON N2M, Canada",,Bing Maps,street
THOMAS SLEE COMMUNITY PARK,OPEN SPACE,OPEN SPACE/TRAIL,,THOMAS SLEE DR,THOMAS SLEE DR,KITCHENER,ONTARIO,CANADA,43.374953,-80.4362168,"THOMAS SLEE DR, KITCHENER, ONTARIO, CANADA","Thomas Slee Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
MEADOWRIDGE ST - SWP,OPEN SPACE,OPEN SPACE/SWM,37,MEADOWRIDGE ST,37 MEADOWRIDGE ST,KITCHENER,ONTARIO,CANADA,43.3741465,-80.440605,"MEADOWRIDGE ST, KITCHENER, ONTARIO, CANADA","Meadowridge St, Kitchener, ON N2P, Canada",,Bing Maps,street
LACKNER WOODS NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLAND,621,LACKNER BLVD,621 LACKNER BLVD,KITCHENER,ONTARIO,CANADA,43.4550184,-80.4269797,"LACKNER BLVD, KITCHENER, ONTARIO, CANADA","Lackner Blvd, Kitchener, ON N2A, Canada",,Bing Maps,street
BRIGADOON WOODS,NATURAL AREA,OPEN SPACE/WOODLAND,,STRASBURG RD,STRASBURG RD,KITCHENER,ONTARIO,CANADA,43.4025882,-80.4695072,"STRASBURG RD, KITCHENER, ONTARIO, CANADA","Strasburg Rd, Kitchener, ON N2R, Canada",,Bing Maps,street
FALLOWFIELD PARK NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLAND,,FALLVIEW CRT,FALLVIEW CRT,KITCHENER,ONTARIO,CANADA,43.413279,-80.4612146,"FALLVIEW CRT, KITCHENER, ONTARIO, CANADA","Fallview Crt, Kitchener, ON N2C, Canada",,Bing Maps,street
BECHTEL PARK NATURAL AREA (MTO),NATURAL AREA,OPEN SPACE/WOODLAND,,SPRINGDALE DR,SPRINGDALE DR,KITCHENER,ONTARIO,CANADA,43.4774643,-80.4929348,"SPRINGDALE DR, KITCHENER, ONTARIO, CANADA","Springdale Dr, Kitchener, ON N2K, Canada",,Bing Maps,street
HOMER WATSON PARK (GRCA),NATURAL AREA,OPEN SPACE/WOODLAND,14,MILL PARK DR,14 MILL PARK DR,KITCHENER,ONTARIO,CANADA,43.3960759,-80.420444,"MILL PARK DR, KITCHENER, ONTARIO, CANADA","Mill Park Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
WOOLWICH STREET WOODLOT,NATURAL AREA,OPEN SPACE/WOODLAND,,WOOLWICH ST,WOOLWICH ST,KITCHENER,ONTARIO,CANADA,43.4867319,-80.4831637,"WOOLWICH ST, KITCHENER, ONTARIO, CANADA","Woolwich St, Kitchener, ON N2K, Canada",,Bing Maps,street
WINIFRED WOODS NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLAND,44,WINIFRED PL,44 WINIFRED PL,KITCHENER,ONTARIO,CANADA,43.4105533,-80.4060676,"WINIFRED PL, KITCHENER, ONTARIO, CANADA","Winifred St, Kitchener, ON N2P, Canada",,Bing Maps,street
TOPPER WOODS NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLAND,404,DOON SOUTH DR,404 DOON SOUTH DR,KITCHENER,ONTARIO,CANADA,43.3762162,-80.4338862,"DOON SOUTH DR, KITCHENER, ONTARIO, CANADA","Doon South Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
EBY WOODS NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLAND,,GRAVEL RIDGE PL,GRAVEL RIDGE PL,KITCHENER,ONTARIO,CANADA,43.4032293,-80.5267853,"GRAVEL RIDGE PL, KITCHENER, ONTARIO, CANADA","Gravel Ridge Pl, Kitchener, ON N2E, Canada",,Bing Maps,street
LACKNER WOODS (PRIVATE),NATURAL AREA,OPEN SPACE/WOODLAND,,LACKNER BLVD,LACKNER BLVD,KITCHENER,ONTARIO,CANADA,43.4550184,-80.4269797,"LACKNER BLVD, KITCHENER, ONTARIO, CANADA","Lackner Blvd, Kitchener, ON N2A, Canada",,Bing Maps,street
NATCHEZ WOODS,NATURAL AREA,OPEN SPACE/WOODLAND,,EBYDALE DR,EBYDALE DR,KITCHENER,ONTARIO,CANADA,43.4551133,-80.4300025,"EBYDALE DR, KITCHENER, ONTARIO, CANADA","Ebydale Dr, Kitchener, ON N2A, Canada",,Bing Maps,street
PINNACLE HILL NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLAND,,HOMER WATSON BLVD,HOMER WATSON BLVD,KITCHENER,ONTARIO,CANADA,43.386724,-80.4119148,"HOMER WATSON BLVD, KITCHENER, ONTARIO, CANADA","Homer Watson Blvd, Kitchener, ON N2P, Canada",,Bing Maps,street
MAUSSER PARK,NEIGHBOURHOOD PARK,PLAY AREA,219,STIRLING AVE S,219 STIRLING AVE S,KITCHENER,ONTARIO,CANADA,43.4410234,-80.4843618,"STIRLING AVE S, KITCHENER, ONTARIO, CANADA","Stirling Ave S, Kitchener, ON N2G, Canada",,Bing Maps,street
HART GREEN,GREEN (PARKETTE),PASSIVE AREA,274,HARTWOOD PL,274 HARTWOOD PL,KITCHENER,ONTARIO,CANADA,43.4654852,-80.4991434,"HARTWOOD PL, KITCHENER, ONTARIO, CANADA","Hartwood Pl, Kitchener, ON N2H, Canada",,Bing Maps,street
MAPLE LANE GREEN,GREEN (PARKETTE),OPEN SPACE/TRAIL,35,BREITHAUPT ST,35 BREITHAUPT ST,KITCHENER,ONTARIO,CANADA,43.4556527,-80.4949792,"BREITHAUPT ST, KITCHENER, ONTARIO, CANADA","Breithaupt St, Kitchener, ON N2H, Canada",,Bing Maps,street
DIXON GREEN,GREEN (PARKETTE),PASSIVE AREA,125,DIXON ST,125 DIXON ST,KITCHENER,ONTARIO,CANADA,43.431674,-80.4649128,"DIXON ST, KITCHENER, ONTARIO, CANADA","Dixon St, Kitchener, ON N2G, Canada",,Bing Maps,street
FORLER GREEN (PRIVATE),GREEN (PARKETTE),PASSIVE AREA,50,STONYBROOK DR,50 STONYBROOK DR,KITCHENER,ONTARIO,CANADA,43.4249784,-80.5118177,"STONYBROOK DR, KITCHENER, ONTARIO, CANADA","Stonybrook Dr, Kitchener, ON N2M, Canada",,Bing Maps,street
WALDAU WOODS,NATURAL AREA,OPEN SPACE/TRAIL,19,PENELOPE DR,19 PENELOPE DR,KITCHENER,ONTARIO,CANADA,43.420164,-80.5555145,"PENELOPE DR, KITCHENER, ONTARIO, CANADA","Penelope Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
TILT'S BUSH,NATURAL AREA,OPEN SPACE/WOODLAND,139,BECHTEL DR,139 BECHTEL DR,KITCHENER,ONTARIO,CANADA,43.389975,-80.4447582,"BECHTEL DR, KITCHENER, ONTARIO, CANADA","Bechtel Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
STECKLE WOODS,NATURAL AREA,OPEN SPACE/WOODLAND,,BLEAMS RD,BLEAMS RD,KITCHENER,ONTARIO,CANADA,43.4098971,-80.4619459,"BLEAMS RD, KITCHENER, ONTARIO, CANADA","Bleams Rd, Kitchener, ON N2E, Canada",,Bing Maps,street
LORILEE PARK NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLAND,139,LORILEE CRES,139 LORILEE CRES,KITCHENER,ONTARIO,CANADA,43.4176844,-80.5317857,"LORILEE CRES, KITCHENER, ONTARIO, CANADA","Lorilee Crescent, Kitchener, ON N2N, Canada",,Bing Maps,street
STAUFFER COMMUNITY PARK NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLAND,,STAUFFER DR,STAUFFER DR,KITCHENER,ONTARIO,CANADA,43.3756489,-80.4448755,"STAUFFER DR, KITCHENER, ONTARIO, CANADA","Stauffer Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
WOOLNER WOODS,NATURAL AREA,OPEN SPACE/WOODLAND,,WOOLNER DR,WOOLNER DR,KITCHENER,ONTARIO,CANADA,43.4468902,-80.4037561,"WOOLNER DR, KITCHENER, ONTARIO, CANADA","Woolner Trail, Kitchener, ON N2A, Canada",,Bing Maps,street
STRASBURG WOODS NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLAND,,STRASBURG RD,STRASBURG RD,KITCHENER,ONTARIO,CANADA,43.4025882,-80.4695072,"STRASBURG RD, KITCHENER, ONTARIO, CANADA","Strasburg Rd, Kitchener, ON N2R, Canada",,Bing Maps,street
SUSSEX GREENWAY,GREENWAY,OPEN SPACE/TRAIL,,RIDGEMOUNT ST,RIDGEMOUNT ST,KITCHENER,ONTARIO,CANADA,43.3787776,-80.4178764,"RIDGEMOUNT ST, KITCHENER, ONTARIO, CANADA","Ridgemount St, Kitchener, ON N2P, Canada",,Bing Maps,street
DOON VILLAGE NATURAL AREA,NATURAL AREA,UNKNOWN,135,PIONEER DR,135 PIONEER DR,KITCHENER,ONTARIO,CANADA,43.3939,-80.4404702,"PIONEER DR, KITCHENER, ONTARIO, CANADA","Pioneer Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
ACTIVA SPORTSPLEX NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLAND,135,LENNOX LEWIS WAY,135 LENNOX LEWIS WAY,KITCHENER,ONTARIO,CANADA,43.4208886,-80.4655882,"LENNOX LEWIS WAY, KITCHENER, ONTARIO, CANADA","Lennox Lewis Way, Kitchener, ON N2C, Canada",,Bing Maps,street
